elo_prob1,score1,score2
0.689688444,20,13
0.631332075,17,20
0.70773316,23,20
0.334572758,21,17
0.74955991,17,24
0.571598445,26,23
0.424223057,31,19
0.653893623,30,10
0.361298116,13,34
0.717643049,41,21
0.79563786,27,23
0.685686468,48,28
0.827876373,32,40
0.498906274,24,40
0.6625105,22,30
0.463963813,16,10
0.380221411,16,17
0.551999394,20,16
0.505100049,14,22
0.729763214,44,13
0.708227058,23,10
0.541364725,27,7
0.514007564,24,23
0.62647146,27,10
0.622064375,35,13
0.394051626,7,27
0.55246058,35,17
0.70888324,27,19
0.709028149,38,10
0.534648652,23,20
0.794661768,41,34
0.428278924,31,28
0.820216103,18,20
0.688751357,34,27
0.402072034,35,27
0.693482387,27,21
0.44582074,7,36
0.447875337,25,31
0.768681065,23,6
0.59719012,17,22
0.391846357,34,31
0.758359329,24,27
0.51439006,14,24
0.586769409,3,27
0.490586418,27,6
0.529715778,31,30
0.5273418,31,38
0.712961063,16,10
0.301099654,24,13
0.503004837,44,41
0.581492011,20,23
0.428191537,14,12
0.861146442,23,16
0.760711226,38,14
0.459281372,20,37
0.463422696,10,27
0.341771934,28,52
0.495232354,0,34
0.798388881,30,28
0.540461294,22,24
0.616219482,37,6
0.351653356,19,13
0.657752644,24,21
0.691339345,28,27
0.65555799,13,20
0.491602111,19,17
0.567029587,18,34
0.359848803,17,3
0.324264414,17,24
0.803212336,31,21
0.800213597,45,3
0.541441905,31,24
0.522400661,12,16
0.373624185,3,41
0.599688415,16,14
0.85034165,41,27
0.275457162,30,27
0.310227787,6,9
0.635302352,30,7
0.678187816,13,17
0.410228752,17,23
0.401596061,26,23
0.686023823,35,9
0.833573845,23,20
0.703865177,17,14
0.535934539,38,10
0.683872319,23,26
0.366980019,34,24
0.791639665,31,29
0.470820585,38,26
0.63922377,3,26
0.680506374,16,19
0.647161918,24,42
0.353406132,24,23
0.677173109,24,35
0.695384252,13,6
0.281294373,20,30
0.661472325,26,23
0.585251382,21,14
0.586506979,17,13
0.821954744,27,23
0.385982846,28,35
0.501285127,17,24
0.54374492,14,19
0.529222442,43,13
0.80234743,29,26
0.606651897,34,35
0.700285558,13,7
0.729575861,17,36
0.749284256,27,12
0.882202569,24,15
0.528832321,34,14
0.396655157,7,6
0.803327865,23,22
0.56862586,9,30
0.672993761,13,19
0.837280068,45,7
0.42032183,17,30
0.556739214,28,24
0.525842179,16,26
0.349836482,24,29
0.389600316,3,24
0.772108416,31,13
0.825701691,31,17
0.425648023,23,20
0.799423736,21,9
0.627251067,13,21
0.618165719,32,42
0.391492494,14,31
0.288272751,15,25
0.365364775,20,51
0.654296073,30,20
0.470198181,23,31
0.817207854,19,13
0.703292518,20,24
0.641130559,28,13
0.440168995,10,27
0.427630675,31,27
0.522699388,34,24
0.61772811,23,38
0.400563119,14,36
0.66998556,28,7
0.857474883,37,31
0.743825427,3,37
0.861567844,24,24
0.564522197,6,13
0.315294461,31,13
0.469657597,34,24
0.816448204,55,20
0.867405722,16,13
0.547824829,19,14
0.915684777,43,37
0.721286593,30,23
0.478748438,21,27
0.388159774,6,28
0.360285187,20,24
0.529776007,31,6
0.834985714,23,19
0.563185829,10,13
0.535071128,13,27
0.363210499,17,38
0.753199933,23,20
0.842632298,59,24
0.637102323,32,7
0.688842667,31,38
0.342174792,31,34
0.267966704,19,49
0.493105634,38,10
0.362167324,13,16
0.480619071,24,21
0.218496084,9,17
0.279990468,20,14
0.731315652,28,10
0.371264262,24,19
0.381113053,23,24
0.522573005,21,31
0.598067733,20,13
0.741779893,34,10
0.682898319,17,31
0.626297675,22,30
0.711089055,23,13
0.519632391,13,20
0.727702403,34,18
0.663906856,7,6
0.813637525,23,14
0.681398072,17,23
0.236716435,16,13
0.712451878,20,23
0.706505223,38,33
0.252797736,16,23
0.56573035,17,20
0.434461997,27,21
0.277909841,10,24
0.73253887,31,23
0.594640983,33,35
0.352682993,17,16
0.240631542,13,26
0.364192313,31,28
0.780922437,58,0
0.757585263,24,34
0.62502361,12,15
0.401259947,10,17
0.674151865,19,20
0.80643319,27,20
0.814094471,27,13
0.42466884,21,14
0.73770936,21,23
0.227037835,30,20
0.695777963,30,7
0.672750481,27,23
0.680142062,52,27
0.652936758,42,14
0.392326584,13,34
0.564704743,17,34
0.714461896,34,41
0.677392035,41,0
0.420930666,13,21
0.773134865,24,3
0.522201021,27,24
0.476694591,38,10
0.503845241,21,38
0.568737405,22,36
0.638895803,15,0
0.410145191,17,50
0.791225377,29,17
0.579293818,34,0
0.663029001,7,31
0.520350799,14,10
0.260147717,18,31
0.552331058,10,13
0.107508784,16,23
0.326290876,13,20
0.448581485,42,13
0.547200188,33,14
0.443233795,13,28
0.516842791,31,34
0.850935525,55,7
0.740166818,17,6
0.872769289,34,12
0.80289915,6,23
0.667907626,24,10
0.598486939,17,27
0.382314031,20,27
0.645953,13,28
0.649195319,28,18
0.744516951,24,21
0.697277038,38,44
0.846390439,42,7
0.543710646,28,9
0.867935801,17,22
0.420393362,28,16
0.4058045,24,26
0.856873737,28,0
0.762663113,38,20
0.402438825,37,34
0.800069993,20,13
0.933635995,38,3
0.544454597,23,17
0.746978206,24,10
0.871638726,27,13
0.58660051,19,13
0.720464214,24,10
0.676365936,24,9
0.475777073,14,24
0.686421698,35,38
0.566327066,45,31
0.751150419,41,28
0.569707127,30,28
0.73714425,13,28
0.549496921,24,28
0.465660717,34,31
0.565389486,49,27
0.561706829,24,21
0.651747431,27,24
0.512529196,23,17
0.676990611,9,16
0.476516531,7,12
0.448098833,34,24
0.731264749,21,17
0.620266818,34,28
0.538935439,18,17
0.58488385,2,28
0.508724473,10,23
0.327139271,21,23
0.478278716,36,31
0.745153687,27,33
0.488208634,28,31
0.824433007,13,10
0.720650827,38,20
